Simulation run, Mode, Network traffic, Requesting device model, Partner1 model, Partner2 model
1,Baseline,1, 3, N/A, N/A
2,Collaborative1,1, 3, 5, N/A
3,Collaborative2,1, 3, 5, 6
4,Baseline,5, 2, N/A, N/A
5,Collaborative1,5, 2, 3, N/A
6,Collaborative2,5, 2, 3, 1
7,Baseline,1, 4, N/A, N/A
8,Collaborative1,1, 4, 5, N/A
9,Collaborative2,1, 4, 5, 6
10,Baseline,6, 5, N/A, N/A
11,Collaborative1,6, 5, 3, N/A
12,Collaborative2,6, 5, 3, 4
13,Baseline,3, 2, N/A, N/A
14,Collaborative1,3, 2, 4, N/A
15,Collaborative2,3, 2, 4, 6
16,Baseline,1, 6, N/A, N/A
17,Collaborative1,1, 6, 4, N/A
18,Collaborative2,1, 6, 4, 3
19,Baseline,5, 1, N/A, N/A
20,Collaborative1,5, 1, 4, N/A
21,Collaborative2,5, 1, 4, 3
22,Baseline,3, 1, N/A, N/A
23,Collaborative1,3, 1, 2, N/A
24,Collaborative2,3, 1, 2, 5
25,Baseline,2, 1, N/A, N/A
26,Collaborative1,2, 1, 4, N/A
27,Collaborative2,2, 1, 4, 5
28,Baseline,2, 6, N/A, N/A
29,Collaborative1,2, 6, 1, N/A
30,Collaborative2,2, 6, 1, 5
31,Baseline,1, 5, N/A, N/A
32,Collaborative1,1, 5, 6, N/A
33,Collaborative2,1, 5, 6, 3
34,Baseline,6, 2, N/A, N/A
35,Collaborative1,6, 2, 4, N/A
36,Collaborative2,6, 2, 4, 3
37,Baseline,4, 1, N/A, N/A
38,Collaborative1,4, 1, 6, N/A
39,Collaborative2,4, 1, 6, 2
40,Baseline,4, 2, N/A, N/A
41,Collaborative1,4, 2, 5, N/A
42,Collaborative2,4, 2, 5, 1
43,Baseline,6, 4, N/A, N/A
44,Collaborative1,6, 4, 3, N/A
45,Collaborative2,6, 4, 3, 1
46,Baseline,6, 1, N/A, N/A
47,Collaborative1,6, 1, 4, N/A
48,Collaborative2,6, 1, 4, 3
49,Baseline,3, 5, N/A, N/A
50,Collaborative1,3, 5, 1, N/A
51,Collaborative2,3, 5, 1, 6
52,Baseline,4, 5, N/A, N/A
53,Collaborative1,4, 5, 3, N/A
54,Collaborative2,4, 5, 3, 6
55,Baseline,3, 6, N/A, N/A
56,Collaborative1,3, 6, 5, N/A
57,Collaborative2,3, 6, 5, 2
58,Baseline,2, 4, N/A, N/A
59,Collaborative1,2, 4, 6, N/A
60,Collaborative2,2, 4, 6, 3
61,Baseline,1, 2, N/A, N/A
62,Collaborative1,1, 2, 6, N/A
63,Collaborative2,1, 2, 6, 5
64,Baseline,4, 3, N/A, N/A
65,Collaborative1,4, 3, 1, N/A
66,Collaborative2,4, 3, 1, 5
67,Baseline,6, 3, N/A, N/A
68,Collaborative1,6, 3, 4, N/A
69,Collaborative2,6, 3, 4, 2
70,Baseline,2, 3, N/A, N/A
71,Collaborative1,2, 3, 4, N/A
72,Collaborative2,2, 3, 4, 6
73,Baseline,2, 5, N/A, N/A
74,Collaborative1,2, 5, 3, N/A
75,Collaborative2,2, 5, 3, 4
76,Baseline,5, 4, N/A, N/A
77,Collaborative1,5, 4, 3, N/A
78,Collaborative2,5, 4, 3, 6
79,Baseline,4, 6, N/A, N/A
80,Collaborative1,4, 6, 5, N/A
81,Collaborative2,4, 6, 5, 3
82,Baseline,5, 3, N/A, N/A
83,Collaborative1,5, 3, 4, N/A
84,Collaborative2,5, 3, 4, 2
85,Baseline,3, 4, N/A, N/A
86,Collaborative1,3, 4, 6, N/A
87,Collaborative2,3, 4, 6, 1
88,Baseline,5, 6, N/A, N/A
89,Collaborative1,5, 6, 3, N/A
90,Collaborative2,5, 6, 3, 1
